"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Tue Nov 16 15:08:58 CST 2021","Tue Nov 16 15:08:58 CST 2021","0","","test_allure","","","","test_skip","this test is skipped"
"passed","Tue Nov 16 15:08:58 CST 2021","Tue Nov 16 15:08:58 CST 2021","1","","test_allure","","","","test_success","this test succeeds"
"broken","Tue Nov 16 15:08:58 CST 2021","Tue Nov 16 15:08:58 CST 2021","0","","test_allure","","","","test_broken",""
"failed","Tue Nov 16 15:08:58 CST 2021","Tue Nov 16 15:08:58 CST 2021","2","","test_allure","","","","test_failure","this test fails"
